Symbol,Date,Low,High,Open,Close,Volume,VolumeScaledNormalized,CloseDiff,WeekDiff,Sector,Label
EQT,2017-11-10,64.43,66.03,65.82,65.18,22746698.0,0.7453440486376254,-0.7299999999999898,3.878999999999998,Energy,0
FLIR,2017-11-10,46.23,46.875,46.23,46.74,616866.0,0.5866158328525903,0.3999999999999986,-0.2099999999999937,Information Technology,1
MS,2017-11-10,48.72,49.195,49.01,48.76,5436118.0,0.6823655338749,-0.0600000000000022,-0.8100000000000023,Financials,0
MAC,2017-11-10,62.1613,64.6275,62.22,64.37,5479291.0,0.6827135902211445,1.960000000000008,8.130999999999993,Real Estate,1
HCP,2017-11-10,26.76,27.36,26.85,27.01,3328422.0,0.6607809695444713,-0.009999999999998,1.356999999999999,Real Estate,0
DISCA,2017-11-10,17.045,17.335,17.23,17.19,3376764.0,0.6614154179889964,0.0199999999999995,-1.9899999999999984,Consumer Discretionary,1
XRAY,2017-11-10,64.65,65.6,65.21,65.58,1935996.0,0.6369388302356689,0.019999999999996,4.400000000000006,Health Care,1
NBL,2017-11-10,27.545,28.46,28.34,28.11,3410276.0,0.6618499267096483,-0.3399999999999998,0.0030000000000001,Energy,0
SNA,2017-11-10,155.21,156.96,156.17,155.87,357921.0,0.562665359631995,-0.9399999999999976,-1.5500000000000114,Consumer Discretionary,0
RHT,2017-11-10,122.85,124.56,123.05,124.18,1141718.0,0.6137033859181154,0.6800000000000068,2.239999999999995,Information Technology,1
CI,2017-11-10,196.9,198.545,197.56,197.98,991083.0,0.6074778893458627,0.4599999999999795,-0.3199999999999932,Health Care,1
ETFC,2017-11-10,42.86,43.35,43.12,42.92,1599495.0,0.6285378857819921,-0.1599999999999966,-0.4600000000000008,Financials,0
CXO,2017-11-10,142.51,145.06,144.31,143.21,830751.0,0.5997134326306858,-1.2199999999999989,4.170000000000016,Energy,0
PPL,2017-11-10,36.18,36.595,36.55,36.29,3733357.0,0.6658324991866714,-0.4699999999999988,-0.1799999999999997,Utilities,0
WYN,2017-11-10,104.77,106.61,106.58,106.07,1395097.0,0.6225221375784794,-0.8700000000000045,-0.2800000000000011,Consumer Discretionary,0
ANDV,2017-11-10,106.46,107.59,107.44,107.2,1468266.0,0.6247712963815424,0.2000000000000028,-2.2099999999999937,Energy,1
ALXN,2017-11-10,114.91,116.14,115.49,115.17,1521766.0,0.6263460012329848,-1.2000000000000028,0.3100000000000023,Health Care,0
CBS,2017-11-10,56.48,58.9,58.51,56.74,17566751.0,0.7339741168815844,-1.3399999999999963,1.8900000000000008,Consumer Discretionary,0
DXC,2017-11-10,94.55,96.115,94.59,95.94,1290133.0,0.6190805798423015,1.3100000000000025,3.1299999999999955,Information Technology,1
TMK,2017-11-10,83.66,84.65,84.61,84.26,527566.0,0.5797353388328195,-0.2399999999999948,-0.2600000000000051,Financials,0
SYY,2017-11-10,53.77,54.37,53.95,54.19,1717858.0,0.6316789988372552,0.1699999999999946,-1.5399999999999991,Consumer Staples,1
SJM,2017-11-10,102.23,104.72,102.23,104.12,901106.0,0.6032902492203139,1.5200000000000102,-1.8300000000000125,Consumer Staples,1
DWDP,2017-11-10,69.74,70.49,70.23,69.97,7119041.0,0.694232470789638,-0.2600000000000051,-3.089999999999989,Materials,0
LUK,2017-11-10,25.66,26.15,26.03,25.66,903420.0,0.6034030923504896,-0.3999999999999986,0.7300000000000004,Financials,0
PCG,2017-11-10,55.5,57.02,55.58,56.95,5597348.0,0.6836515306706146,1.0,-1.2899999999999991,Utilities,1
AFL,2017-11-10,83.0,84.01,83.94,83.44,1181734.0,0.6152191014410494,-0.6400000000000006,-0.2100000000000079,Financials,0
FTV,2017-11-10,71.9,72.795,72.28,72.65,1825247.0,0.6343469859588142,0.0200000000000102,-0.2300000000000039,Industrials,1
TPR,2017-11-10,40.13,41.01,40.46,40.82,3976706.0,0.6686108748073342,0.6600000000000037,-0.5200000000000031,Consumer Discretionary,1
GGP,2017-11-10,21.88,22.28,21.94,22.2,7029028.0,0.6936725984359021,0.1999999999999993,2.5599999999999987,Real Estate,1
XEC,2017-11-10,123.94,126.13,125.37,125.05,465582.0,0.574236072530285,-0.710000000000008,4.550000000000011,Energy,0
CMA,2017-11-10,74.89,76.22,75.55,74.93,1165647.0,0.6146160240282315,-0.3499999999999943,-3.1700000000000017,Financials,0
ADS,2017-11-10,224.1,228.38,227.15,224.93,343723.0,0.5608844431134608,-2.4499999999999886,1.6999999999999886,Information Technology,0
HCN,2017-11-10,68.0,68.53,68.0,68.12,1400065.0,0.6226785423173101,-0.1599999999999966,2.1159999999999997,Real Estate,0
MYL,2017-11-10,37.53,38.19,37.93,38.16,2451879.0,0.647332886446686,0.0799999999999983,1.2299999999999969,Health Care,1
ETR,2017-11-10,85.1,86.29,85.95,85.13,1196622.0,0.615769959824127,-1.2900000000000065,1.628,Utilities,0
BHF,2017-11-10,56.08,56.72,56.16,56.58,531027.0,0.5800230445323564,0.0799999999999983,-5.549999999999997,Financials,1
STI,2017-11-10,56.76,57.39,57.02,56.79,4532255.0,0.6743644677575948,-0.009999999999998,-3.730000000000004,Financials,0
BBT,2017-11-10,46.1,46.97,46.82,46.13,7960231.0,0.6991465248478758,-0.6199999999999974,-2.4579999999999984,Financials,0
BHGE,2017-11-10,32.4,33.14,32.65,32.95,2512611.0,0.6484094497976602,0.2100000000000008,1.0730000000000004,Energy,1
ANTM,2017-11-10,214.95,218.98,216.13,218.27,1835381.0,0.6345905994479674,2.2900000000000205,6.449999999999989,Health Care,1
KORS,2017-11-10,54.39,55.01,54.57,54.71,2617821.0,0.6502142908593876,0.1799999999999997,6.050000000000004,Consumer Discretionary,1
CTL,2017-11-10,14.98,15.6,15.43,15.48,19337026.0,0.7381986479352347,0.0,-2.370000000000001,Telecommunication Services,1
NWS,2017-11-10,15.0,16.2,15.15,15.55,935985.0,0.6049611868169676,0.8000000000000007,0.6999999999999993,Consumer Discretionary,1
JEC,2017-11-10,59.73,60.3,60.04,60.03,619214.0,0.5867829905922379,-0.25,1.990000000000002,Industrials,0
LEN,2017-11-10,58.32,59.32,58.67,58.71,5244420.0,0.6807859373498373,-0.2199999999999988,1.9699999999999989,Consumer Discretionary,0
GS,2017-11-10,240.0,243.32,241.69,240.15,1844519.0,0.6348091193265205,-0.6399999999999864,-3.469999999999999,Financials,0
NKE,2017-11-10,55.62,56.49,55.88,56.09,7535726.0,0.6967352418480103,-0.0399999999999991,1.0600000000000025,Consumer Discretionary,0
APC,2017-11-10,50.35,51.47,51.22,51.11,5004569.0,0.6787261855956546,-0.2899999999999991,1.259999999999998,Energy,0
XLNX,2017-11-10,70.63,71.94,70.8,71.87,1809278.0,0.6339603450764824,1.1099999999999994,-2.280000000000001,Information Technology,1
NUE,2017-11-10,55.375,56.86,56.73,55.83,2552031.0,0.6490943883690691,-0.6900000000000048,-2.279999999999994,Materials,0
NAVI,2017-11-10,12.045,12.28,12.1,12.21,2371858.0,0.6458729458891532,0.0700000000000002,0.0400000000000009,Financials,1
TIF,2017-11-10,90.46,92.1299,91.0,91.57,1813582.0,0.6340648882868891,0.5699999999999932,-2.980000000000004,Consumer Discretionary,1
DHR,2017-11-10,91.65,92.91,92.81,92.24,2361630.0,0.6456828008109446,-0.7400000000000091,0.0700000000000073,Health Care,0
PBCT,2017-11-10,17.65,17.875,17.76,17.71,2067687.0,0.6398343600972054,-0.0500000000000007,-0.7699999999999996,Financials,0
STZ,2017-11-10,217.805,219.0,218.5,218.67,672151.0,0.5903923343157425,0.539999999999992,2.6500000000000057,Consumer Staples,1
CHK,2017-11-10,4.04,4.19,4.13,4.14,23490520.0,0.7467598095919222,0.0299999999999993,0.1500000000000003,Energy,1
CBG,2017-11-10,40.69,41.6,40.7,41.53,3092004.0,0.6575391553414168,0.7199999999999989,1.5600000000000025,Real Estate,1
PGR,2017-11-10,50.18,50.86,50.48,50.75,1292349.0,0.6191560903482661,0.1099999999999994,1.8400000000000032,Financials,1
DUK,2017-11-10,88.65,89.285,89.1,88.89,2216668.0,0.6428955870514814,-0.7399999999999949,1.769999999999996,Utilities,0
SPGI,2017-11-10,156.72,157.89,157.7,156.94,679641.0,0.5908799199536414,-0.9699999999999988,1.3499999999999943,Financials,0
LB,2017-11-10,48.12,50.19,48.21,49.66,4457756.0,0.6736352197986775,1.4099999999999966,4.640000000000001,Consumer Discretionary,1
XRX,2017-11-10,29.02,29.39,29.2,29.17,1503340.0,0.6258099939251726,-0.0999999999999978,-1.0199999999999996,Information Technology,0
INFO,2017-11-10,42.79,43.16,43.14,42.93,1643192.0,0.6297237849666028,-0.2700000000000031,0.5,Industrials,0
DPS,2017-11-10,85.5,86.54,85.72,86.32,767189.0,0.5962112329056948,0.6299999999999955,-0.2000000000000028,Consumer Staples,1
CVS,2017-11-10,69.19,71.51,69.63,70.99,10299127.0,0.710480776516125,1.9699999999999989,0.019999999999996,Consumer Staples,1
FOX,2017-11-10,27.98,29.17,28.19,28.07,4557631.0,0.6746101314181593,-0.0599999999999987,2.75,Consumer Discretionary,0
VNO,2017-11-10,74.87,76.185,74.87,75.61,763944.0,0.5960247336837013,0.3499999999999943,1.2650000000000006,Real Estate,1
AYI,2017-11-10,159.14,160.75,160.0,160.18,242317.0,0.545502833026811,0.0999999999999943,-5.639999999999986,Industrials,1
KMI,2017-11-10,17.65,17.9,17.86,17.67,9151726.0,0.7052837348665055,-0.2399999999999984,-0.2199999999999988,Energy,0
DRE,2022-12-09,48.20000076293945,48.20000076293945,48.20000076293945,48.20000076293945,0.0,0.0,0.0,0.0,Real Estate,1
NLSN,2022-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Industrials,1
XL,2022-12-09,0.8878999948501587,0.9259999990463256,0.9199000000953674,0.9157999753952026,271550.0,0.5505143046795435,0.0157999992370605,-0.0600000023841859,Financials,1
IPG,2022-12-12,31.850000381469727,32.45000076293945,32.0,32.45000076293945,545210.0,0.5811827819708729,0.3800010681152344,-2.3899993896484375,Consumer Discretionary,1
HST,2022-12-12,17.690000534057617,17.96500015258789,17.700000762939453,17.954999923706055,846826.0,0.6005566828262152,0.2649993896484375,-1.0,Real Estate,1
IP,2022-12-12,35.94499969482422,36.34000015258789,36.06999969482422,36.33000183105469,402357.0,0.5678144653080446,0.25,-1.30999755859375,Materials,1
NTAP,2022-12-12,64.16000366210938,64.91000366210938,64.19999694824219,64.81999969482422,293810.0,0.5539808610972101,0.529998779296875,-3.779998779296875,Information Technology,1
OMC,2022-12-12,75.43000030517578,76.41000366210938,75.83999633789062,76.41000366210938,255617.0,0.5478538544391595,0.7600021362304688,-4.209999084472656,Consumer Discretionary,1
RF,2022-12-12,21.780000686645508,22.270000457763672,22.079999923706055,22.26499938964844,1370254.0,0.6217315676275739,0.2449989318847691,-0.9699993133544922,Financials,1
HSIC,2022-12-12,80.38999938964844,81.56500244140625,81.01000213623047,81.19000244140625,116063.0,0.5131145908740886,-0.0099945068359375,-1.75,Health Care,0
PXD,2022-12-12,213.54200744628903,218.38999938964844,214.88999938964844,216.7599945068359,872780.0,0.6018849424796786,2.759994506835909,-25.07000732421875,Energy,1
NEE,2022-12-12,84.80000305175781,85.83000183105469,85.12000274658203,85.80000305175781,1043942.0,0.6097641283130754,1.2900009155273438,-0.3199996948242187,Utilities,1
NOC,2022-12-12,525.9199829101562,533.0449829101562,530.5,528.1798706054688,143471.0,0.5224423472346217,-0.7601318359375,-1.3599853515625,Industrials,0
NVDA,2022-12-12,167.97000122070312,172.63999938964844,170.3699951171875,171.28500366210938,17144332.0,0.7329031603274592,1.2750091552734375,-1.3400115966796875,Information Technology,1
IFF,2022-12-12,106.0999984741211,108.0,107.81999969482422,107.06500244140624,265580.0,0.5495361977267037,-0.1949996948242471,0.5200042724609659,Materials,0
REG,2022-12-12,64.97000122070312,65.81999969482422,65.81999969482422,65.33999633789062,85814.0,0.499829111111812,-0.3900070190429687,0.0600051879882812,Real Estate,0
NWSA,2022-12-12,17.844999313354492,18.05500030517578,18.010000228881836,18.030000686645508,567492.0,0.5829451951801033,-0.019998550415039,-1.1100006103515625,Consumer Discretionary,0
RE,2022-12-12,328.32000732421875,332.1600036621094,332.3999938964844,328.6099853515625,59474.0,0.4836973288087328,-3.95001220703125,2.220001220703125,Financials,0
IDXX,2022-12-12,418.6499938964844,423.4150085449219,422.3500061035156,421.30999755859375,52168.0,0.4779304538717372,0.67999267578125,-18.540008544921875,Health Care,1
O,2022-12-12,64.0999984741211,64.8949966430664,64.55999755859375,64.44499969482422,932028.0,0.6047747801257091,-0.0049972534179687,1.639995574951172,Real Estate,0
NWL,2022-12-12,13.210000038146973,13.529999732971191,13.369999885559082,13.380000114440918,1133958.0,0.6134033123442669,-0.0599994659423828,0.5999994277954102,Consumer Discretionary,0
ILMN,2022-12-12,200.86099243164065,206.7449951171875,200.88999938964844,206.7100067138672,318387.0,0.5575154986326499,1.0900115966796875,-15.240005493164062,Health Care,1
ICE,2022-12-12,102.68000030517578,103.86000061035156,102.8499984741211,103.84500122070312,382782.0,0.5656200476939649,0.5149993896484517,-6.199996948242202,Financials,1
INCY,2022-12-12,81.6500015258789,82.52999877929688,82.45999908447266,82.41999816894531,211117.0,0.5394382554208407,0.0800018310546875,1.6599960327148438,Health Care,1
